target_col,feature_label,split_type,model_name,task_type,eval_group,p,n_test_pooled,n_train,n_folds,selected_hyperparameters,hyperparameter_tuning_enabled,hyperparameter_tuning_metric,test_spearman,test_pearson,test_r2,test_mae,test_rmse
acsins_dLmax_ph7.4_avg,physicochemical_seq_all,random,xgboost,regression,all_data,1878.0,517,413.6,5,"{""learning_rate"": 0.061778277937018636, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,0.6185,0.6058,0.3284,5.1038,7.3085
acsins_dLmax_ph7.4_avg,vhvlcdrh3_esm2_seq_embeddings_svd80_vhvlcdrh3_esm2_pll_georgiev_mean_pooled,random,xgboost,regression,all_data,281.0,517,413.6,5,"{""learning_rate"": 0.012981881402549895, ""max_depth"": 5, ""n_estimators"": 400, ""random_state"": 42}",True,spearman,0.5434,0.5488,0.2687,5.4197,7.6053
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_svd150_esm2_seq_embeddings_svd20_georgiev,random,xgboost,regression,all_data,770.0,517,413.6,5,"{""learning_rate"": 0.032676417657817626, ""max_depth"": 5, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,0.6252,0.6202,0.3622,5.0408,7.1324
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_esm2_seq_embeddings_svd50_georgiev,random,xgboost,regression,all_data,2069.0,517,413.6,5,"{""learning_rate"": 0.03968793330444373, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,0.6285,0.6273,0.3723,5.0416,7.0784
