target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,selected_hyperparameters,hyperparameter_tuning_enabled,hyperparameter_tuning_metric,eval_group,frontier_idx,segment_min,segment_max,segments_included,data_size_n,test_segment,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,3,ridge,regression,600,1319,480,120,"{""alpha"": 8.000170008643197, ""max_iter"": 1000}",True,spearman,all_data,,,,,600,,0.4939,0.8506,0.7218,3.5219,4.5329,0.6161,0.8983,0.7991,3.303,3.9618
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,4,ridge,regression,600,1319,480,120,"{""alpha"": 8.000170008643197, ""max_iter"": 1000}",True,spearman,all_data,,,,,600,,0.5038,0.8586,0.7342,3.63,4.3453,0.6031,0.8949,0.7936,3.2871,4.0335
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,0,mlp_pytorch,regression,600,1319,480,120,"{""batch_size"": 16, ""device"": ""cpu"", ""hidden_size"": 208, ""learning_rate"": 0.00037742771117266113, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,600,,0.7155,0.9283,0.8604,2.9129,3.6032,0.6262,0.9181,0.8411,2.9184,3.4116
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,1,mlp_pytorch,regression,600,1319,480,120,"{""batch_size"": 16, ""device"": ""cpu"", ""hidden_size"": 208, ""learning_rate"": 0.00037742771117266113, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,600,,0.5453,0.8963,0.7946,3.054,3.7492,0.6905,0.9275,0.853,2.719,3.4161
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,2,mlp_pytorch,regression,600,1319,480,120,"{""batch_size"": 16, ""device"": ""cpu"", ""hidden_size"": 208, ""learning_rate"": 0.00037742771117266113, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,600,,0.599,0.9244,0.8481,2.9778,3.4721,0.5972,0.9078,0.8206,3.0383,3.7108
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,3,mlp_pytorch,regression,600,1319,480,120,"{""batch_size"": 16, ""device"": ""cpu"", ""hidden_size"": 208, ""learning_rate"": 0.00037742771117266113, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,600,,0.5468,0.8981,0.8057,3.0054,3.7888,0.6672,0.923,0.8515,2.9012,3.4064
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,4,mlp_pytorch,regression,600,1319,480,120,"{""batch_size"": 16, ""device"": ""cpu"", ""hidden_size"": 208, ""learning_rate"": 0.00037742771117266113, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,600,,0.5363,0.8988,0.8078,3.2832,3.6948,0.6608,0.9232,0.8521,2.8962,3.4147
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,0,ridge,regression,431,1281,344,87,"{""alpha"": 0.015466737040892535, ""max_iter"": 1000}",True,spearman,all_data,,,,,431,,0.117,0.1596,-0.4049,5.8605,9.0411,0.6127,0.9546,0.8686,2.3115,3.8217
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,1,ridge,regression,431,1281,345,86,"{""alpha"": 0.015466737040892535, ""max_iter"": 1000}",True,spearman,all_data,,,,,431,,-0.1608,-0.1682,-5.8578,6.7773,9.452,0.5832,0.9586,0.8831,2.2833,3.7741
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,2,ridge,regression,431,1281,345,86,"{""alpha"": 0.015466737040892535, ""max_iter"": 1000}",True,spearman,all_data,,,,,431,,0.1783,-0.096,-0.166,6.4323,16.2879,0.6736,0.9667,0.9015,1.6968,2.5939
